id,equip_coordonnees,inst_numero,inst_nom,equip_type_name,equip_type_famille,aps_name,equip_acc_libre,equip_url,inst_adresse,new_code,equip_prop_nom,equip_gest_type,inst_acc_handi_bool
2177,"{'lon': 5.378577, 'lat': 43.491026}",I130010014,ENTE:ECOLE NATIONALE DES TECHNICIENS DE L'EQUIPEMENT,Structure Artificielle d'Escalade,Structure Artificielle d'Escalade,['Escalade'],false,,680 RUE ALBERT EINSTEIN Pôle d'activité d'Aix en Provence,13001,,Etat,true
2178,"{'lon': 4.613649, 'lat': 43.685454}",I130040003,COMPLEXE ROBERT MOREL,Terrain de football,Terrain de grands jeux,"['Football / Football en salle (Futsal)', 'Pétanque et jeu provencal']",false,,RUE ROBERT MARTIN,13004,,Commune,false
2179,"{'lon': 5.64417, 'lat': 43.36919}",I130070004,COMPLEXE SPORTIF DES ARTAUDS,Terrain de football,Terrain de grands jeux,"['Football / Football en salle (Futsal)', 'Rugby à 15 / Rugby à 7']",false,,AV DES ARTAUDS,13007,,Commune,true
2180,"{'lon': 5.34994751215, 'lat': 43.4468732638}",I130190006,COMPLEXE SPORTIF RAYMOND MARTIN,Dojo / Salle d'arts martiaux,Salle de combat,"['Aikido / Aikibudo / Budo', 'Gymnastique Artistique', 'Judo / Jujitsu / Taïso', 'Karaté/Karaté jutsu/Goshin jutsu/Kobudo/Nihon Tai-jutsu/Taijitsu/Nambudo/Ninjutsu/Nunchaku/...', 'Lutte traditionnelle / olympique libre / olympique gréco-romaine /  bretonne / féminine', 'Taekwondo / Hapkido / Tang-soo-do / Soo bahk do / Sin moo hapkido / Hapkido jin jung kwan']",false,,Avenue Raymond Martin,13019,,Commune,false
2181,"{'lon': 5.24800211191, 'lat': 43.7134357816}",I130240009,TENNIS CLUB,Piste de padel,Salle ou terrain spécialisé,['Padel'],false,,AVENUE DES BOIS,13024,,Commune,false
2182,"{'lon': 5.593961, 'lat': 43.488639}",I130250001,TENNIS CLUB NEGRELIEN,Court de tennis,Court de tennis,['Tennis'],false,,LA GAVOTTE,13025,,Commune,false
2183,"{'lon': 5.14134752401, 'lat': 43.3986661257}",I130260002,COMPLEXE SPORTIF DE LA PLAINE DES SPORTS,Terrain de foot 5x5,Terrain extérieur de petits jeux collectifs,['Football / Football en salle (Futsal)'],true,,161 avenue du bolmon,13026,,Commune,true
2184,"{'lon': 5.20126, 'lat': 43.41534}",I130540020,PARC DES SPORTS DU BOLMON,Terrain de football,Terrain de grands jeux,['Football / Football en salle (Futsal)'],false,,Rue Edmond Rostand,13054,,Commune,false
2185,"{'lon': 5.511898, 'lat': 43.283265}",I130700001,COMPLEXE SPORTIF GERMAIN CAMOIN,Court de tennis,Court de tennis,['Tennis'],true,,LA PENNE SUR HUVEAUNE,13070,,Commune,true
2186,"{'lon': 5.57506, 'lat': 43.64304}",I130740003,TENNIS CLUB PEYROLLES,Court de tennis,Court de tennis,['Tennis'],true,,ROUTE DU PLAN,13074,,Commune,false
