id,equip_coordonnees,inst_numero,inst_nom,equip_type_name,equip_type_famille,aps_name,equip_acc_libre,equip_url,inst_adresse,new_code,equip_prop_nom,equip_gest_type,inst_acc_handi_bool
2177,"{'lon': 5.378577, 'lat': 43.491026}",I130010014,ENTE:ECOLE NATIONALE DES TECHNICIENS DE L'EQUIPEMENT,Structure Artificielle d'Escalade,Structure Artificielle d'Escalade,['Escalade'],false,,680 RUE ALBERT EINSTEIN Pôle d'activité d'Aix en Provence,13001,,Etat,true
2194,"{'lon': 5.3827, 'lat': 43.2964}",I132010006,LYCEE THIERS,Multisports/City-stades,Multisports/City-stades,"['Badminton', 'Jeu de volant', 'Basket-Ball', 'Football / Football en salle (Futsal)', 'Handball / Mini hand / Handball de plage', 'Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley']",false,,5 PLACE DU LYCEE,13201,,Etablissement privé commercial,true
2207,"{'lon': 5.353336, 'lat': 43.341331}",I132150009,LYCEE SAINT EXUPERY,Terrain de basket-ball,Terrain extérieur de petits jeux collectifs,['Basket-Ball'],false,,529 CHEMIN DE LA MADRAGUE VILLE,13215,,Région,true
2272,"{'lon': 5.45242, 'lat': 43.517830000000004}",I130010019,Université Aix Marseille - CENTRE SPORTIF ET UNIVERSITAIRE,Structure Artificielle d'Escalade,Structure Artificielle d'Escalade,['Escalade'],false,,35 AVENUE JULES FERRY,13001,,Etablissement Public,true
2273,"{'lon': 5.469689, 'lat': 43.516916}",I130010102,INSTALLATIONS SPORTIVES ECOLE DU VAL ST ANDRE,Multisports/City-stades,Multisports/City-stades,"['Badminton', 'Jeu de volant']",false,,75 Rue  Edmond Michelet,13001,,Commune,false
2596,"{'lon': 5.437837, 'lat': 43.284868}",I132110045,LYCEE DES METIERS RENE CAILLIE,Salle multisports (gymnase),Salle multisports,"['Ballon au poing', 'Basket-Ball', 'Handball / Mini hand / Handball de plage', 'Tennis de table', 'Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley']",false,,173 Boulevard de Saint Loup,13211,,Etablissement Public,true
2600,"{'lon': 5.3829, 'lat': 43.2787}",I132080011,LYCEE PERIER,Salle de boxe,Salle de combat,"['Boxe Anglaise', 'Gymnastique volontaire']",false,,270 Rue paradis,13208,,Etablissement Public,false
2601,"{'lon': 5.3846, 'lat': 43.2621}",I132080027,LYCEE DAUMIER,Multisports/City-stades,Multisports/City-stades,"['Basket-Ball', 'Handball / Mini hand / Handball de plage', 'Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley']",false,,46 avenue Clot Bey,13208,,Etablissement Public,true
5820,"{'lon': 5.413029, 'lat': 43.233269}",I132090001,CENTRE PENITENTIAIRE DES BAUMETTES,Salle de musculation/cardiotraining,Equipement d'activités de forme et de santé,['Musculation'],false,,239 CHEMIN MORGIOU,13209,,Etat,false
5903,"{'lon': 5.45918, 'lat': 43.52625}",I130010119,LYCEE MILITAIRE,Stade d’athlétisme,Equipement d'athlétisme,"['Course sur piste', 'Lancer', 'Saut']",false,,13 boulevard des poilus,13001,,Etat,false
6415,"{'lon': 5.4519400000000005, 'lat': 43.517830000000004}",I130010019,Université Aix Marseille - CENTRE SPORTIF ET UNIVERSITAIRE,Salle multisports (gymnase),Salle multisports,"['Badminton', 'Jeu de volant', 'Basket-Ball', 'Handball / Mini hand / Handball de plage', 'Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley']",false,,35 AVENUE JULES FERRY,13001,,Etablissement Public,true
7217,"{'lon': 5.3828, 'lat': 43.2959}",I132010006,LYCEE THIERS,Structure Artificielle d'Escalade,Structure Artificielle d'Escalade,['Escalade'],false,,5 PLACE DU LYCEE,13201,,Etablissement Public,true
7224,"{'lon': 5.413029, 'lat': 43.233269}",I132090001,CENTRE PENITENTIAIRE DES BAUMETTES,Salle de boxe,Salle de combat,['Boxe Anglaise'],false,,239 CHEMIN MORGIOU,13209,,Etat,false
7227,"{'lon': 5.41277, 'lat': 43.30056}",I132120037,COLLEGE DARIUS MILHAUD,Terrain de basket-ball,Terrain extérieur de petits jeux collectifs,['Basket-Ball'],false,,30 BOULEVARD LOUIS ARMAND,13212,,Département,true
7284,"{'lon': 5.45223, 'lat': 43.51776}",I130010019,Université Aix Marseille - CENTRE SPORTIF ET UNIVERSITAIRE,Salle de danse,Salle ou terrain spécialisé,"['Autres Danses', 'Danses par Couple (Danses de compétition)']",false,,35 AVENUE JULES FERRY,13001,,Etablissement Public,true
7286,"{'lon': 5.457755, 'lat': 43.52701}",I130010119,LYCEE MILITAIRE,Salle d'escrime,Salle ou terrain spécialisé,['Escrime (Epée / Fleuret / Sabre )'],false,,13 boulevard des poilus,13001,,Etat,false
9601,"{'lon': 5.45855199482, 'lat': 43.5106295068}",I130010160,GYMNASE DU LYCEE EMILE ZOLA,Terrain de basket-ball,Terrain extérieur de petits jeux collectifs,['Basket-Ball'],false,,Avenue de la Cible,13001,,Région,true
9709,"{'lon': 5.433753, 'lat': 43.511791}",I130010087,COLLEGE DE LA NATIVITE,Multisports/City-stades,Multisports/City-stades,"['Basket-Ball', 'Handball / Mini hand / Handball de plage']",false,,8 RUE JEAN ANDREANI,13001,,Etablissement d'enseignement privé,true
15148,"{'lon': 5.4611170291899995, 'lat': 43.5100537061}",I130010160,GYMNASE DU LYCEE EMILE ZOLA,Salle de danse,Salle ou terrain spécialisé,['Autres Danses'],false,,Avenue de la Cible,13001,,Région,true
15185,"{'lon': 5.15417, 'lat': 43.63524}",I130690006,L'ecole de la gare,Terrain de handball,Terrain extérieur de petits jeux collectifs,,,,Avenue Frédéric Mistral,13069,,,true
15200,"{'lon': 5.371161, 'lat': 43.31423}",I132030017,LYCEE PROFESSIONNEL LE CHATELIER,Salle de tennis de table,Salle ou terrain spécialisé,['Tennis de table'],false,,108 Avenue Roger Salengro,13203,,Etablissement Public,true
15201,"{'lon': 5.3786, 'lat': 43.291}",I132060016,LYCEE MONTGRAND,Multisports/City-stades,Multisports/City-stades,"['Basket-Ball', 'Handball / Mini hand / Handball de plage', 'Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley']",false,,13 R MONTGRAND,13206,,Etablissement Public,true
15204,"{'lon': 5.3795, 'lat': 43.2407}",I132080045,LYCEE MARSEILLEVEYRE,Stade d’athlétisme,Equipement d'athlétisme,['Course sur piste'],false,,83 TRAVERSE PARAGON,13208,,Commune,true
15215,"{'lon': 4.631, 'lat': 43.6831}",I130040048,COLLEGE FREDERIC MISTRAL,Multisports/City-stades,Multisports/City-stades,['Handball / Mini hand / Handball de plage'],false,,2 Esplanade de la laïcité BP 186,13004,,Département,true
15216,"{'lon': 5.03028, 'lat': 43.79331}",I130670013,COLLEGE MONT SAUVY,Piste d'athlétisme isolée,Equipement d'athlétisme,['Course sur piste'],false,,AVENUE LIEUTENANT COLONEL NOEL REYNAUD,13067,,EPCI,true
15217,"{'lon': 5.272151, 'lat': 43.424868}",I131170037,LYCEE JEAN MONNET,Salle d'haltérophilie,Salle ou terrain spécialisé,['Musculation'],false,,AVENUE RHIN DANUBE,13117,,Etablissement Public,true
15218,"{'lon': 5.399247, 'lat': 43.30153}",I132040001,LYCEE MICHELET,Multisports/City-stades,Multisports/City-stades,"['Basket-Ball', 'Football / Football en salle (Futsal)', 'Handball / Mini hand / Handball de plage', 'Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley']",false,,21 Avenue marechal foch,13204,,Etablissement Public,true
15224,"{'lon': 5.4361, 'lat': 43.2934}",I132110020,ECOLE MIXTE DE LA GROGNARDE,Terrain de basket-ball,Terrain extérieur de petits jeux collectifs,['Handball / Mini hand / Handball de plage'],false,,BD SOULT,13211,,Commune,false
15225,"{'lon': 5.4193, 'lat': 43.3133}",I132120006,LYCEE PROFESSIONNEL BLAISE PASCAL,Piste d'athlétisme isolée,Equipement d'athlétisme,['Course sur piste'],false,,49 Traverse Capron,13212,,Région,true
15380,"{'lon': 5.364027, 'lat': 43.372987}",I132150048,Ecole Mixte St Antoine Palanque,Terrain de basket-ball,Terrain extérieur de petits jeux collectifs,['Basket-Ball'],false,,Chemin de Lamartine,13215,,Commune,true
16298,"{'lon': 5.105, 'lat': 43.6256}",I131030015,ECOLE PRIMAIRE DE LURIAN,Multisports/City-stades,Multisports/City-stades,"['Basket-Ball', 'Course sur piste', 'Saut']",false,,chemin de lurian,13103,,Commune,false
